S,d3,d4,d5,d6,ip,waste,length,status,closure,notes
120,17,1,0,0,7,145,870,closed-lemma,lemma-B-passover,
120,17,1,0,0,8,146,871,closed-lemma,lemma-B-passover,
120,18,1,0,0,5,144,869,closed-lemma,lemma-B-passover,
120,18,1,0,0,6,145,870,closed-lemma,lemma-B-passover,
120,18,1,0,0,7,146,871,closed-lemma,lemma-B-passover,
120,19,1,0,0,4,144,869,closed-lemma,lemma-B-passover,
120,19,1,0,0,5,145,870,closed-lemma,lemma-B-passover,
120,19,1,0,0,6,146,871,closed-lemma,lemma-B-passover,
120,20,1,0,0,3,144,869,closed-lemma,lemma-B-passover,
120,20,1,0,0,4,145,870,closed-lemma,lemma-B-passover,
120,20,1,0,0,5,146,871,closed-lemma,lemma-B-passover,
120,21,1,0,0,2,144,869,closed-lemma,lemma-B-passover,
120,21,1,0,0,3,145,870,closed-lemma,lemma-B-passover,
120,21,1,0,0,4,146,871,closed-lemma,lemma-B-passover,
120,22,1,0,0,1,144,869,closed-lemma,lemma-B-passover,
120,22,1,0,0,2,145,870,closed-lemma,lemma-B-passover,
120,22,1,0,0,3,146,871,closed-lemma,lemma-B-passover,
120,23,1,0,0,0,144,869,open,,s11-grammar-subregion-closed;perfect-ride-family(ATSP-closable)
120,23,1,0,0,1,145,870,closed-lemma,lemma-B-passover,
120,23,1,0,0,2,146,871,closed-lemma,lemma-B-passover,
120,24,1,0,0,0,145,870,open,,s11-grammar-subregion-closed;perfect-ride-family(ATSP-closable)
120,24,1,0,0,1,146,871,closed-lemma,lemma-B-passover,
120,25,1,0,0,0,146,871,open,,s11-grammar-subregion-closed;perfect-ride-family(ATSP-closable)
120,0,2,0,0,21,144,869,closed-lemma,lemma-B-passover,
120,0,2,0,0,22,145,870,closed-lemma,lemma-B-passover,
120,0,2,0,0,23,146,871,closed-lemma,lemma-B-passover,
120,1,2,0,0,20,144,869,closed-lemma,lemma-B-passover,
120,1,2,0,0,21,145,870,closed-lemma,lemma-B-passover,
120,1,2,0,0,22,146,871,closed-lemma,lemma-B-passover,
120,2,2,0,0,19,144,869,closed-lemma,lemma-B-passover,
120,2,2,0,0,20,145,870,closed-lemma,lemma-B-passover,
120,2,2,0,0,21,146,871,closed-lemma,lemma-B-passover,
120,3,2,0,0,18,144,869,closed-lemma,lemma-B-passover,
120,3,2,0,0,19,145,870,closed-lemma,lemma-B-passover,
120,3,2,0,0,20,146,871,closed-lemma,lemma-B-passover,
120,4,2,0,0,17,144,869,closed-lemma,lemma-B-passover,
120,4,2,0,0,18,145,870,closed-lemma,lemma-B-passover,
120,4,2,0,0,19,146,871,closed-lemma,lemma-B-passover,
120,5,2,0,0,16,144,869,closed-lemma,lemma-B-passover,
120,5,2,0,0,17,145,870,closed-lemma,lemma-B-passover,
120,5,2,0,0,18,146,871,closed-lemma,lemma-B-passover,
120,6,2,0,0,15,144,869,closed-lemma,lemma-B-passover,
120,6,2,0,0,16,145,870,closed-lemma,lemma-B-passover,
120,6,2,0,0,17,146,871,closed-lemma,lemma-B-passover,
120,7,2,0,0,14,144,869,closed-lemma,lemma-B-passover,
120,7,2,0,0,15,145,870,closed-lemma,lemma-B-passover,
120,7,2,0,0,16,146,871,closed-lemma,lemma-B-passover,
120,8,2,0,0,13,144,869,closed-lemma,lemma-B-passover,
120,8,2,0,0,14,145,870,closed-lemma,lemma-B-passover,
120,8,2,0,0,15,146,871,closed-lemma,lemma-B-passover,
120,9,2,0,0,12,144,869,closed-lemma,lemma-B-passover,
120,9,2,0,0,13,145,870,closed-lemma,lemma-B-passover,
120,9,2,0,0,14,146,871,closed-lemma,lemma-B-passover,
120,10,2,0,0,11,144,869,closed-lemma,lemma-B-passover,
120,10,2,0,0,12,145,870,closed-lemma,lemma-B-passover,
120,10,2,0,0,13,146,871,closed-lemma,lemma-B-passover,
120,11,2,0,0,10,144,869,closed-lemma,lemma-B-passover,
120,11,2,0,0,11,145,870,closed-lemma,lemma-B-passover,
120,11,2,0,0,12,146,871,closed-lemma,lemma-B-passover,
120,12,2,0,0,9,144,869,closed-lemma,lemma-B-passover,
120,12,2,0,0,10,145,870,closed-lemma,lemma-B-passover,
120,12,2,0,0,11,146,871,closed-lemma,lemma-B-passover,
120,13,2,0,0,8,144,869,closed-lemma,lemma-B-passover,
120,13,2,0,0,9,145,870,closed-lemma,lemma-B-passover,
120,13,2,0,0,10,146,871,closed-lemma,lemma-B-passover,
120,14,2,0,0,7,144,869,closed-lemma,lemma-B-passover,
120,14,2,0,0,8,145,870,closed-lemma,lemma-B-passover,
120,14,2,0,0,9,146,871,closed-lemma,lemma-B-passover,
120,15,2,0,0,6,144,869,closed-lemma,lemma-B-passover,
120,15,2,0,0,7,145,870,closed-lemma,lemma-B-passover,
120,15,2,0,0,8,146,871,closed-lemma,lemma-B-passover,
120,16,2,0,0,5,144,869,closed-lemma,lemma-B-passover,
120,16,2,0,0,6,145,870,closed-lemma,lemma-B-passover,
120,16,2,0,0,7,146,871,closed-lemma,lemma-B-passover,
120,17,2,0,0,4,144,869,closed-lemma,lemma-B-passover,
120,17,2,0,0,5,145,870,closed-lemma,lemma-B-passover,
120,17,2,0,0,6,146,871,closed-lemma,lemma-B-passover,
120,18,2,0,0,3,144,869,closed-lemma,lemma-B-passover,
120,18,2,0,0,4,145,870,closed-lemma,lemma-B-passover,
120,18,2,0,0,5,146,871,closed-lemma,lemma-B-passover,
120,19,2,0,0,2,144,869,closed-lemma,lemma-B-passover,
120,19,2,0,0,3,145,870,closed-lemma,lemma-B-passover,
120,19,2,0,0,4,146,871,closed-lemma,lemma-B-passover,
120,20,2,0,0,1,144,869,closed-lemma,lemma-B-passover,
120,20,2,0,0,2,145,870,closed-lemma,lemma-B-passover,
120,20,2,0,0,3,146,871,closed-lemma,lemma-B-passover,
120,21,2,0,0,0,144,869,open,,s11-grammar-subregion-closed;perfect-ride-family(ATSP-closable)
120,21,2,0,0,1,145,870,closed-lemma,lemma-B-passover,
120,21,2,0,0,2,146,871,closed-lemma,lemma-B-passover,
