class_a	class_b	deepest_d	shared_perms	orient	status
872.up-0105a4b77ce8.txt	872.up-b020caf20414.txt	136	584	rr	KNOWN-EDGE
872.up-7ad1d8247eca.txt	872.up-f7bd304a1cf5.txt	157	563	rr	NEW
872.up-314067e0df43.txt	872.up-b085d57241a9.txt	161	559	rr	NEW
872.up-1f8cae05a727.txt	872.up-706cd862c2a3.txt	171	549	ff	NEW
872.up-abdf013a6935.txt	872.up-ae167692bd96.txt	171	549	rr	NEW
872.up-238eaae22f05.txt	872.up-612fc5cb2ae5.txt	175	545	ff	NEW
872.up-293f18c650d7.txt	872.up-86609009a88b.txt	175	545	ff	NEW
872.up-3e7585a64270.txt	872.up-a8d6e3d7b419.txt	175	545	ff	NEW
872.up-0c01cb2971c7.txt	872.up-e1aaf0354090.txt	177	543	rr	NEW
872.up-1963362330a7.txt	872.up-28900d399ab1.txt	177	543	ff	NEW
872.up-27f169e7f65f.txt	872.up-e92e15e93741.txt	177	543	rr	NEW
872.up-28d3d4b1045f.txt	872.up-ec4e5bb0333c.txt	177	543	rr	NEW
872.up-38d1d06168bc.txt	872.up-bda3d87ca120.txt	185	535	ff	NEW
872.up-7d145332c908.txt	872.up-9aca389fd66a.txt	185	535	rr	NEW
872.up-1a8301d404c4.txt	872.up-2371863c9c05.txt	188	532	ff	NEW
872.up-44bfe1dd8686.txt	872.up-ba5f969a9580.txt	188	532	ff	NEW
872.up-8791ffaa44ef.txt	872.up-af98b14283a2.txt	188	532	rr	NEW
872.up-1b2afa77e2b9.txt	872.up-6eeb4a410d4f.txt	195	525	rr	NEW
872.up-332dfe33b264.txt	872.up-e19b168e448b.txt	195	525	ff	NEW
872.up-ae9784bef819.txt	872.up-b81e632d4649.txt	195	525	rr	NEW
872.up-aee89c9fb91d.txt	872.up-e77afad583f8.txt	196	524	rr	NEW
872.up-00d8a2629a10.txt	872.up-79cc5cc3e924.txt	200	520	ff	NEW
872.up-bf46ae69a962.txt	872.up-e9791aca244e.txt	200	520	ff	NEW
872.up-1a3df4196e76.txt	872.up-2b39a07a3697.txt	201	519	ff	NEW
872.up-420c3dcb4fe8.txt	872.up-a563186f309f.txt	201	519	ff	NEW
872.up-896b03d79343.txt	872.up-a5892f1a76d0.txt	202	518	ff	NEW
872.up-8eaac7abe5d8.txt	872.up-cd705209bdf2.txt	206	514	ff	NEW
872.up-b8d165c32f8d.txt	872.up-c0bd6a3da90f.txt	206	514	rr	NEW
872.up-8342d2db0570.txt	872.up-c00ef23568cd.txt	208	512	ff	NEW
872.up-2323e4140593.txt	872.up-5a918daea90c.txt	209	511	fr	NEW
872.up-241bb872d71b.txt	872.up-2cbd96356351.txt	210	510	rr	NEW
872.up-7ce7299d7675.txt	872.up-9414cbe7d7e5.txt	210	510	rr	NEW
872.up-234f5dab1dc7.txt	872.up-fea28273d397.txt	213	507	ff	NEW
872.up-283452726488.txt	872.up-30c849ac99a9.txt	213	507	ff	NEW
872.up-2cd602016af2.txt	872.up-3043e4609606.txt	213	507	ff	NEW
872.up-b6d8394e0f22.txt	872.up-fc6db0c5ba49.txt	213	507	rr	NEW
872.up-0f5f52139f51.txt	872.up-259905fff171.txt	214	506	ff	NEW
872.up-5398c380ddc9.txt	872.up-5bc8f3c25112.txt	214	506	ff	NEW
872.up-05009ff47375.txt	872.up-89370f1d0f81.txt	215	505	ff	NEW
872.up-41e770989166.txt	872.up-5d13967e22a8.txt	215	505	ff	NEW
872.up-b2f5f8f5acf1.txt	872.up-eb0a96d76958.txt	215	505	rr	NEW
872.up-20b00788139d.txt	872.up-e9c1d4220829.txt	216	504	rr	NEW
872.up-2b7d45bf7439.txt	872.up-aec0f6e72b5b.txt	216	504	rr	NEW
872.up-48192560fb3b.txt	872.up-8358d4997fc8.txt	216	504	rr	NEW
872.up-b126f46de697.txt	872.up-e1ddaf57ad32.txt	216	504	ff	NEW
872.up-3113f63d5ce4.txt	872.up-e8afd854f113.txt	217	503	rf	NEW
872.up-08556db513e7.txt	872.up-4dd90c49d59d.txt	218	502	ff	NEW
872.up-2ba6af6ea6bb.txt	872.up-cc3fb3a79e65.txt	218	502	ff	NEW
872.up-6b345b32a416.txt	872.up-f70cb35f467c.txt	218	502	ff	NEW
872.up-6afc0afba548.txt	872.up-ed1a7862b67e.txt	220	500	ff	NEW
872.up-2a676887bf6e.txt	872.up-b75c020ecc6c.txt	221	499	rr	NEW
872.up-74990d8b7b1a.txt	872.up-d23acc6e7081.txt	221	499	rr	NEW
872.up-722c48ce0c1a.txt	872.up-f148d61e8d2c.txt	221	499	rf	NEW
872.up-56ddcb96caa9.txt	872.up-8c2c3f50257e.txt	222	498	rr	NEW
872.up-14c9e00f2cd7.txt	872.up-eee40dc26d23.txt	223	497	rr	NEW
872.up-5f96c3d78018.txt	872.up-d212eeb5b884.txt	223	497	rr	NEW
872.up-110b9455b63f.txt	872.up-719d3e6ad24f.txt	225	495	ff	NEW
872.up-120d83f972df.txt	872.up-9de29fe4239a.txt	225	495	rr	NEW
872.up-16309106f9d6.txt	872.up-30b08db83974.txt	225	495	rr	NEW
872.up-4c9a04ed2141.txt	872.up-51c894dbb2cf.txt	225	495	rr	NEW
872.up-55b1f6d9bbcb.txt	872.up-c2cc8de0a783.txt	225	495	ff	NEW
872.up-6693037f5b87.txt	872.up-8246d00209fe.txt	225	495	rr	NEW
872.up-685abd11716a.txt	872.up-8612d4c7b09c.txt	225	495	ff	NEW
872.up-79e814899588.txt	872.up-c50a4e822d41.txt	225	495	rf	NEW
872.up-b2437746f10a.txt	872.up-d466ccb24d22.txt	225	495	fr	NEW
872.up-cdcff2dfacf4.txt	872.up-df52aae7a483.txt	225	495	rr	NEW
872.up-4d234ce48068.txt	872.up-d294d7498854.txt	226	494	ff	NEW
872.up-6a4cbd72ab93.txt	872.up-aced29cd4b02.txt	226	494	ff	NEW
872.up-c43a8c8ddc46.txt	872.up-f7d69343d42a.txt	226	494	rr	NEW
872.up-2d74715c3cca.txt	872.up-4fc1799d42ff.txt	227	493	rr	NEW
872.up-3d8956b38549.txt	872.up-92a49c36c6f1.txt	227	493	rr	NEW
872.up-733cab04dbcf.txt	872.up-ca8ed994b543.txt	228	492	rr	NEW
872.up-755d99ff6b0b.txt	872.up-d60cc6b7b674.txt	230	490	ff	NEW
872.up-821053729c66.txt	872.up-9b7c97c2a8d1.txt	230	490	ff	NEW
872.up-b3d6a8705517.txt	872.up-fbb6d889fac8.txt	230	490	rr	NEW
872.up-4749e0e541d3.txt	872.up-4e7962d42bda.txt	231	489	ff	NEW
872.up-4cdf797053e7.txt	872.up-6d00951d5779.txt	231	489	rr	NEW
872.up-71bb41a6cfb2.txt	872.up-e056231c03ec.txt	231	489	fr	NEW
872.up-af779fa88da6.txt	872.up-c10bf0f07b76.txt	232	488	rr	NEW
872.up-31094dbc6ccc.txt	872.up-aed735950b3e.txt	233	487	rr	NEW
872.up-4f6434a6b5d0.txt	872.up-b7b126943900.txt	233	487	rr	NEW
872.up-3d24a35ee4fa.txt	872.up-99eeed6c2da7.txt	234	486	ff	NEW
872.up-6792984833c0.txt	872.up-e014ddef37e0.txt	235	485	rr	NEW
872.up-d2845fce7eac.txt	872.up-ee7e953e013b.txt	235	485	ff	NEW
872.up-137d8c6dc7d2.txt	872.up-a354c7b66030.txt	236	484	ff	NEW
872.up-15727fe86272.txt	872.up-5c9e5cd96760.txt	236	484	ff	NEW
872.up-190eaef4d50e.txt	872.up-40fcdf4daaa6.txt	236	484	ff	NEW
872.up-6233d493bdee.txt	872.up-fbf56ece22b8.txt	236	484	rr	NEW
872.up-631f815a2b31.txt	872.up-7adb722b770c.txt	236	484	ff	NEW
872.up-7b05e4bb119a.txt	872.up-9f0b0accf5b1.txt	236	484	ff	NEW
872.up-a10c5fc7b541.txt	872.up-acedb7f050b7.txt	236	484	ff	NEW
872.up-0e8aeb16d737.txt	872.up-d825d5eea0b3.txt	237	483	ff	NEW
872.up-152e70358343.txt	872.up-c3dac50811f3.txt	237	483	ff	NEW
872.up-56edf1e63679.txt	872.up-b0b2e80b0ef0.txt	237	483	ff	NEW
872.up-a39bc1721b8e.txt	872.up-be059ce7bea3.txt	237	483	ff	NEW
872.up-22313f104cda.txt	872.up-d1f0fc7a0711.txt	238	482	ff	NEW
872.up-28023f850aa4.txt	872.up-3fd8f81ce0bb.txt	238	482	rr	NEW
872.up-4ce3a7a00526.txt	872.up-50dd0ab8df3c.txt	238	482	rf	NEW
872.up-56b9d40ff39c.txt	872.up-d85868f31a64.txt	239	481	rr	NEW
872.up-570857c2248e.txt	872.up-8437288f0498.txt	239	481	ff	NEW
872.up-5856b80d5394.txt	872.up-e242c0361455.txt	239	481	rr	NEW
872.up-83b26bfb77e4.txt	872.up-c340f46bc1fa.txt	239	481	ff	NEW
872.up-9063009b96f6.txt	872.up-cdb8c7839658.txt	239	481	fr	NEW
872.up-1246f8038ad9.txt	872.up-856c0f1b0389.txt	240	480	rr	NEW
872.up-126f1e5d6bf0.txt	872.up-9522cc6503f2.txt	240	480	ff	NEW
872.up-21c09b5cd1dc.txt	872.up-9cd59fd0d4b9.txt	240	480	ff	NEW
872.up-41df2f947117.txt	872.up-a4d4996e53a3.txt	240	480	ff	NEW
872.up-6d2e6302d809.txt	872.up-de6ade4647da.txt	240	480	ff	NEW
872.up-8275c0b73c77.txt	872.up-e49f1677bffe.txt	240	480	ff	NEW
872.up-5c31355c02b7.txt	872.up-f3689b4f8e04.txt	241	479	ff	NEW
872.up-059d18d99428.txt	872.up-49e62e949ead.txt	242	478	rf	NEW
872.up-3e246dd6961e.txt	872.up-f5b83cf01ae2.txt	242	478	rr	NEW
872.up-07704f90ea60.txt	872.up-3e05471c8707.txt	243	477	ff	NEW
872.up-1c84c4d793f0.txt	872.up-3364236713cb.txt	243	477	ff	NEW
